life_insurer,year,claims_pending_start_no,claims_pending_start_amt,claims_intimated_no,claims_intimated_amt,total_claims_no,total_claims_amt,claims_paid_no,claims_paid_amt,claims_repudiated_no,claims_repudiated_amt,claims_rejected_no,claims_rejected_amt,claims_unclaimed_no,claims_unclaimed_amt,claims_pending_end_no,claims_pending_end_amt,claims_paid_ratio_no,claims_paid_ratio_amt,claims_repudiated_rejected_ratio_no,claims_repudiated_rejected_ratio_amt,claims_pending_ratio_no,claims_pending_ratio_amt,category
ABSL,2021-22,7,1.6944806650000277,13518,675.2559034569999,13525,676.950384122,13470,666.77329184,52,7.782922282,0,0.0,0,0.0,3,2.39416999999999,0.9959334565619224,0.9849662655924192,0.0038447319778188,0.0114970350332165,0.0002218114602587,0.0035366993743643,Group Death Claims
Aegon,2021-22,0,0.0,361,76.06,361,76.06,361,76.03,0,0.0,0,0.0,0,0.0,0,0.0300000000000011,1.0,0.9996055745464107,0.0,0.0,0.0,0.0003944254535892,Group Death Claims
Ageas,2021-22,15,4.806673751399991,481,100.8266249033,496,105.63329865469998,446,89.0313663928,45,15.1815667019,0,0.0,0,0.0,5,1.4203655599999898,0.8991935483870968,0.8428342911436543,0.0907258064516129,0.1437195173798969,0.0100806451612903,0.0134461914764487,Group Death Claims
Aviva,2021-22,0,0.0,1347,68.63594090000001,1347,68.6309604,1345,68.4839409,1,0.15,1,0.002,0,0.0,0,-0.0049804999999868,0.9985152190051968,0.997857825402076,0.0014847809948032,0.0022147438869294,0.0,-7.256928900541529e-05,Group Death Claims
Baj Alz,2021-22,85,6.8678338,193169,1578.2510421906031,193254,1585.118875990603,192902,1553.4667594367572,181,22.8570066,0,0.0,0,0.0,171,8.79510995384587,0.998178562927546,0.9800317080105015,0.0009365912219151,0.0144197428635853,0.0008848458505386,0.005548549125913,Group Death Claims
Bharti Axa,2021-22,5,1.193382143,1802,145.061780234,1807,146.255162377,1779,143.27315592800002,28,2.982006449,0,0.0,0,0.0,0,-1.7763568394002505e-14,0.9845047039291644,0.9796109320140556,0.0154952960708356,0.0203890679859444,0.0,-1.2145600951994834e-16,Group Death Claims
Can HSBC,2021-22,1,0.02,10551,374.0344093100282,10552,374.0544093100282,10466,361.1798822429445,86,12.874527067,0,0.0,0,0.0,0,8.370371062937919e-11,0.9918498862774828,0.9655811380733842,0.008150113722517,0.034418861926392,0.0,2.2377415837385013e-13,Group Death Claims
Edelws,2021-22,0,0.0,2314,82.88322733199999,2314,82.88322733199999,2300,81.616184635,12,1.141542697,0,0.0,0,0.0,2,0.1254999999999937,0.9939498703543648,0.9847129179475036,0.0051858254105445,0.0137729035625916,0.0008643042350907,0.0015141784899046,Group Death Claims
Exide,2021-22,0,0.0,14363,324.17798300000004,14363,324.17798300000004,14363,324.177983,0,0.0,0,0.0,0,0.0,0,5.684341886080803e-14,1.0,0.9999999999999998,0.0,0.0,0.0,1.7534632776343731e-16,Group Death Claims
Fut Genli,2021-22,3,0.379,1644,226.2476827326923,1647,226.62668273269233,1575,216.40541773269229,69,9.502265,1,0.0,2,0.719,0,4.5630166312093934e-14,0.9562841530054644,0.9548982278840656,0.0425015179113539,0.0419291536434303,0.0,2.01345074471725e-16,Group Death Claims
HDFC,2021-22,723,69.12948704200032,358401,3248.874563304,359124,3318.004050346,358116,3165.266621946,812,144.0418761,196,8.6955523,0,0.0,0,2.3092638912203256e-13,0.9971931700471146,0.9539670759642164,0.0028068299528853,0.0460329240357836,0.0,6.959798288912627e-17,Group Death Claims
ICICI,2021-22,3634,120.73400955099991,239870,2414.496423277801,243504,2535.230432828801,238008,2297.0058921435,244,51.849836370999995,42,4.963271300000001,120,0.794438913282,5090,180.6169941010193,0.9774295288783758,0.9060343637404624,0.001174518693738,0.0224094452856532,0.0209031473815625,0.0712428313269683,Group Death Claims
Indiafirst,2021-22,0,0.0,27041,909.44554246,27041,909.44554246,26818,891.7495107860001,216,16.377707698,0,0.0,0,0.0,7,1.3183239759999843,0.991753263562738,0.9805419556775954,0.0079878702710698,0.018008453429437,0.000258866166192,0.0014495908929675,Group Death Claims
Industry,2021-22,11232,351.5182730333999,1424849,26572.27693495351,1436081,26923.790227486905,1418442,26043.23929708674,9087,549.2736156349,2062,51.60522901,134,2.1003045132820004,6356,278.4610210608973,0.9877172666444304,0.9672946890850012,0.0077634896638838,0.0223177657962679,0.0044259341917343,0.0103425639075367,Group Death Claims
Kotak,2021-22,427,28.183736099999972,128673,1723.4601365999847,129100,1751.6438726999847,128557,1695.317248728035,219,23.6726859,0,0.0,0,0.0,324,32.653938071949405,0.9957939581719596,0.9678435640658352,0.001696359411309,0.0135145541105401,0.0025096824167312,0.0186418818236246,Group Death Claims
